fips,cbsa_sub,area_name,nmdda_2023
35021,NCNTY35021N35021,"Harding County, NM",0
1121,NCNTY01121N01121,"Talladega County, AL",0
41059,NCNTY41059N41059,"Umatilla County, OR",0
54055,NCNTY54055N54055,"Mercer County, WV",0
54045,NCNTY54045N54045,"Logan County, WV",0
54067,NCNTY54067N54067,"Nicholas County, WV",0
54059,NCNTY54059N54059,"Mingo County, WV",0
54047,NCNTY54047N54047,"McDowell County, WV",0
54001,NCNTY54001N54001,"Barbour County, WV",0
54087,NCNTY54087N54087,"Roane County, WV",0
54007,NCNTY54007N54007,"Braxton County, WV",0
54063,NCNTY54063N54063,"Monroe County, WV",0
54089,NCNTY54089N54089,"Summers County, WV",0
54085,NCNTY54085N54085,"Ritchie County, WV",0
54013,NCNTY54013N54013,"Calhoun County, WV",0
54071,NCNTY54071N54071,"Pendleton County, WV",0
19139,NCNTY19139N19139,"Muscatine County, IA",0
40013,NCNTY40013N40013,"Bryan County, OK",0
1037,NCNTY01037N01037,"Coosa County, AL",0
50003,NCNTY50003N50003,"Bennington County, VT",0
33005,NCNTY33005N33005,"Cheshire County, NH",0
23025,NCNTY23025N23025,"Somerset County, ME",0
21021,NCNTY21021N21021,"Boyle County, KY",0
28115,NCNTY28115N28115,"Pontotoc County, MS",0
13237,NCNTY13237N13237,"Putnam County, GA",0
33001,NCNTY33001N33001,"Belknap County, NH",0
50027,NCNTY50027N50027,"Windsor County, VT",0
48185,NCNTY48185N48185,"Grimes County, TX",0
41023,NCNTY41023N41023,"Grant County, OR",0
8075,NCNTY08075N08075,"Logan County, CO",0
8095,NCNTY08095N08095,"Phillips County, CO",0
6093,NCNTY06093N06093,"Siskiyou County, CA",0
26101,NCNTY26101N26101,"Manistee County, MI",0
54049,NCNTY54049N54049,"Marion County, WV",0
13299,NCNTY13299N13299,"Ware County, GA",0
54053,NCNTY54053N54053,"Mason County, WV",0
6003,NCNTY06003N06003,"Alpine County, CA",0
33013,NCNTY33013N33013,"Merrimack County, NH",0
48467,NCNTY48467N48467,"Van Zandt County, TX",0
54031,NCNTY54031N54031,"Hardy County, WV",0
13317,NCNTY13317N13317,"Wilkes County, GA",0
8103,NCNTY08103N08103,"Rio Blanco County, CO",0
54095,NCNTY54095N54095,"Tyler County, WV",0
40121,NCNTY40121N40121,"Pittsburg County, OK",0
29159,NCNTY29159N29159,"Pettis County, MO",0
48143,NCNTY48143N48143,"Erath County, TX",0
35017,NCNTY35017N35017,"Grant County, NM",0
1087,NCNTY01087N01087,"Macon County, AL",0
5005,NCNTY05005N05005,"Baxter County, AR",0
8003,NCNTY08003N08003,"Alamosa County, CO",0
13131,NCNTY13131N13131,"Grady County, GA",0
47083,NCNTY47083N47083,"Houston County, TN",0
40139,NCNTY40139N40139,"Texas County, OK",0
21197,NCNTY21197N21197,"Powell County, KY",0
48277,NCNTY48277N48277,"Lamar County, TX",0
29131,NCNTY29131N29131,"Miller County, MO",0
35027,NCNTY35027N35027,"Lincoln County, NM",0
35059,NCNTY35059N35059,"Union County, NM",0
23029,NCNTY23029N23029,"Washington County, ME",0
48481,NCNTY48481N48481,"Wharton County, TX",0
48089,NCNTY48089N48089,"Colorado County, TX",0
28145,NCNTY28145N28145,"Union County, MS",0
37039,NCNTY37039N37039,"Cherokee County, NC",0
